Company,Symbol,Current Price,Market Cap,Dividend,Yield,52-Week Return
Arthur J. Gallagher & Co.,AJG,56.94,$10.2B,1.56,2.74%,9.60%
Xerox Corp.,XRX,7.44,$7.5B,0.2,2.74%,29.40%
Prudential Financial,PRU,111.11,$47.8B,3,2.70%,6.80%
Johnson & Johnson,JNJ,118.86,$323.4B,3.2,2.69%,3.20%
Air Products & Chemicals Inc,APD,141.5,$30.8B,3.8,2.69%,-1.60%
Cummins Inc.,CMI,152.91,$25.7B,4.1,2.68%,11.90%
Praxair Inc.,PX,117.42,$33.5B,3.15,2.68%,0.20%
Western Digital,WDC,74.91,$21.6B,2,2.67%,10.20%
Amgen Inc,AMGN,173.29,$127.6B,4.6,2.65%,18.50%
"Coty, Inc",COTY,18.89,$14.1B,0.5,2.65%,3.20%
Wells Fargo,WFC,58.09,$291.4B,1.52,2.62%,5.40%
Texas Instruments,TXN,76.44,$76.4B,2,2.62%,4.80%
Genuine Parts,GPC,100.67,$15B,2.63,2.61%,5.40%
Vornado Realty Trust,VNO,109.79,$20.8B,2.84,2.59%,5.20%
Lilly (Eli) & Co.,LLY,80.39,$88.7B,2.08,2.59%,9.30%
Omnicom Group,OMC,85.34,$20B,2.2,2.58%,0.30%
BlackRock,BLK,388.76,$62.7B,10,2.57%,2.20%
3M Company,MMM,182.95,$109.1B,4.7,2.57%,2.50%
Harley-Davidson,HOG,56.93,$10.1B,1.46,2.56%,-2.40%
Polo Ralph Lauren Corp.,RL,78.39,$6.4B,2,2.55%,-13.20%
Eastman Chemical,EMN,80.25,$11.8B,2.04,2.54%,6.70%
Tesoro Petroleum Co.,TSO,86.64,$10.1B,2.2,2.54%,-0.90%
Carnival Corp.,CCL,55.4,$29.7B,1.4,2.53%,6.40%
Sysco Corp.,SYY,52.35,$28.3B,1.32,2.52%,-5.50%
Fastenal Co,FAST,50.71,$14.7B,1.28,2.52%,7.90%
CVS Health,CVS,79.69,$81.7B,2,2.51%,1.00%
BB&T Corporation,BBT,47.96,$38.8B,1.2,2.50%,2.00%
Best Buy Co. Inc.,BBY,45.24,$14.2B,1.12,2.48%,6.00%
Schlumberger Ltd.,SLB,80.65,$112.2B,2,2.48%,-3.90%
Kraft Heinz Co,KHC,96.65,$117.6B,2.4,2.48%,10.70%
Dr Pepper Snapple Group,DPS,93.98,$17.2B,2.32,2.47%,3.70%
KLA-Tencor Corp.,KLAC,88.46,$13.9B,2.16,2.44%,12.40%
AFLAC Inc,AFL,71.1,$29B,1.72,2.42%,2.20%
Microsoft Corp.,MSFT,64.62,$499.4B,1.56,2.41%,4.00%
Campbell Soup,CPB,58.48,$18B,1.4,2.39%,-3.30%
The Clorox Company,CLX,133.71,$17.2B,3.2,2.39%,11.40%
Johnson Controls International,JCI,41.91,$39.3B,1,2.39%,1.70%
Abbott Laboratories,ABT,44.69,$76.9B,1.06,2.37%,16.30%
Pentair Ltd.,PNR,58.13,$10.6B,1.38,2.37%,3.70%
Motorola Solutions Inc.,MSI,79.31,$13.2B,1.88,2.37%,-4.30%
Wyndham Worldwide,WYN,84.85,$9.1B,2,2.36%,11.10%
Nucor Corp.,NUE,63.9,$20.4B,1.51,2.36%,7.40%
United Technologies,UTX,112.15,$90.4B,2.64,2.35%,2.30%
Ameriprise Financial,AMP,128.99,$20B,3,2.33%,16.30%
Hasbro Inc.,HAS,98.5,$12.3B,2.28,2.31%,26.60%
"Tegna, Inc.",TGNA,24.37,$5.2B,0.56,2.30%,13.90%
The Hershey Company,HSY,107.25,$22.2B,2.47,2.30%,3.70%
Kinder Morgan,KMI,21.77,$48.6B,0.5,2.30%,5.10%
Automatic Data Processing,ADP,99.68,$44.7B,2.28,2.29%,-3.00%
Ryder System,R,77.17,$4.1B,1.76,2.28%,3.70%
C. H. Robinson Worldwide,CHRW,79.06,$11.2B,1.8,2.28%,7.90%
Waste Management Inc.,WM,72.45,$31.9B,1.64,2.26%,2.20%
Whirlpool Corp.,WHR,177.19,$13.2B,4,2.26%,-2.50%
Huntington Bancshares,HBAN,14.13,$15.3B,0.32,2.26%,6.90%
Corning Inc.,GLW,27.65,$25.7B,0.62,2.24%,13.90%
ConocoPhillips,COP,47.51,$58.8B,1.06,2.23%,-5.20%
Cardinal Health Inc.,CAH,80.71,$25.5B,1.8,2.22%,12.10%
JM Smucker,SJM,135.95,$15.8B,3,2.21%,6.20%
Union Pacific,UNP,109.82,$89.4B,2.42,2.20%,5.90%
