Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
LDRI,PowerShares Exchange-Traded Fund Trust II,24.9378,0.42984,1.7207,2/15/17,2/28/17
LECO,Lincoln Electric Holdings Inc.,85.43,1.4,1.6359,12/28/16,1/13/17
LFUS,Littelfuse Inc.,163.41,1.32,0.8132,11/21/16,12/8/16
LION,Fidelity Southern Corporation,24.02,0.48,1.9925,2/1/17,2/15/17
LKFN,Lakeland Financial Corporation,45.93,0.76,1.6641,1/23/17,2/6/17
LKOR,FlexShares Trust,50.33,2.076036,4.1405,2/1/17,2/7/17
LLTC,Linear Technology Corporation,64.92,1.28,1.9753,11/16/16,11/30/16
LMAT,LeMaitre Vascular Inc.,23.8,0.18,0.7762,11/17/16,12/5/16
LMBS,First Trust Exchange-Traded Fund IV,52.3,1.41,2.6986,1/20/17,1/31/17
LMNR,Limoneira Co,18.36,0.22,1.2121,12/22/16,1/17/17
LMRK,Landmark Infrastructure Partners LP,15.5,1.4,8.9744,2/2/17,2/15/17
LNCE,Snyder's-Lance Inc.,39,0.64,1.6268,11/17/16,11/29/16
LNGR,Global X Funds,16.42,0.161273,0.9822,12/28/16,1/6/17
LOAN,Manhattan Bridge Capital Inc,6.2,0.4,6.1538,12/28/16,1/17/17
LOB,Live Oak Bancshares Inc.,23,0.08,0.3471,12/12/16,12/22/16
LPLA,LPL Financial Holdings Inc.,40.53,1,2.4759,11/14/16,11/30/16
LRCX,Lam Research Corporation,114.9,1.8,1.5711,12/12/16,1/4/17
LSBK,Lake Shore Bancorp Inc.,15.91,0.28,1.7599,11/8/16,11/21/16
LSTR,Landstar System Inc.,87.25,0.36,0.4131,2/15/17,3/17/17
LTXB,LegacyTexas Financial Group Inc.,42.53,0.6,1.3989,2/2/17,2/17/17
LVHD,Legg Mason ETF Investment Trust,29.52,0.947372,3.2103,12/23/16,12/30/16
LYTS,LSI Industries Inc.,9.95,0.2,2.0408,2/2/17,2/14/17
MANT,ManTech International Corporation,40.46,0.84,2.0772,12/7/16,12/23/16
MAR,Marriott International,89.36,1.2,1.3417,11/21/16,12/30/16
MAT,Mattel Inc.,26.1,1.52,5.9213,2/14/17,3/3/17
MATW,Matthews International Corporation,67.95,0.68,1.0022,2/2/17,2/20/17
MBCN,Middlefield Banc Corp.,42,1.08,2.6634,11/23/16,12/15/16
