"Company","Symbol","Current Price","Market Cap","Dividend","Yield","52-Week Return"
"KeyCorp","KEY",18.96,"$20.5B",0.34,"1.79%","3.8%"
"Mondelez International","MDLZ",42.5,"$65.6B",0.76,"1.79%","-4.1%"
"Progressive Corp.","PGR",38.57,"$22.4B",0.68,"1.77%","8.6%"
"Foot Locker Inc","FL",71.0,"$9.4B",1.24,"1.75%","0.2%"
"SunTrust Banks","STI",59.59,"$29.3B",1.04,"1.75%","8.6%"
"Walgreens Boots Alliance","WBA",85.86,"$92.7B",1.5,"1.75%","3.7%"
"Yum! Brands Inc","YUM",68.4,"$25.1B",1.2,"1.75%","8.0%"
"Capital One Financial","COF",91.81,"$44.1B",1.6,"1.74%","5.2%"
"Starbucks Corp.","SBUX",57.35,"$83.6B",1.0,"1.74%","3.3%"
"Northern Trust Corp.","NTRS",87.2,"$19.9B",1.52,"1.74%","-2.1%"
"Morgan Stanley","MS",46.15,"$85.5B",0.8,"1.73%","9.2%"
"PNC Financial Services","PNC",126.86,"$61.5B",2.2,"1.73%","8.5%"
"Parker-Hannifin","PH",153.89,"$20.5B",2.64,"1.72%","9.9%"
"Regions Financial Corp.","RF",15.38,"$18.7B",0.26,"1.69%","7.1%"
"Discover Financial Services","DFS",71.3,"$27.7B",1.2,"1.68%","-1.1%"
"Apple Inc.","AAPL",135.72,"$712.1B",2.28,"1.68%","17.2%"
"Pulte Homes Inc.","PHM",21.4,"$6.8B",0.36,"1.68%","16.4%"
"M&T Bank Corp.","MTB",167.91,"$26B",2.8,"1.67%","7.3%"
"Time Warner Inc.","TWX",96.48,"$74.5B",1.61,"1.67%","-0.1%"
"Snap-On Inc.","SNA",172.57,"$10B",2.84,"1.65%","0.8%"
"Willis Towers Watson","WLTW",128.35,"$17.5B",2.12,"1.65%","5.0%"
"Unum Group","UNM",48.51,"$11.1B",0.8,"1.65%","10.4%"
"FLIR Systems","FLIR",36.62,"$5B",0.6,"1.64%","1.2%"
"Newell Brands","NWL",46.64,"$22.5B",0.76,"1.63%","4.5%"
"Anthem Inc.","ANTM",160.25,"$42.2B",2.6,"1.62%","11.5%"
"Lincoln National","LNC",71.69,"$16.4B",1.16,"1.62%","8.2%"
"Molson Coors Brewing Company","TAP",101.59,"$21.9B",1.64,"1.61%","4.4%"
"General Dynamics","GD",189.06,"$57.2B",3.04,"1.61%","9.5%"
"AmerisourceBergen Corp","ABC",90.76,"$19.7B",1.46,"1.61%","16.1%"
"American Express Co","AXP",79.71,"$73B",1.28,"1.61%","7.6%"
"The Bank of New York Mellon Corp.","BK",47.14,"$49.4B",0.76,"1.61%","-0.5%"
"Becton Dickinson","BDX",180.9,"$38.5B",2.92,"1.61%","9.3%"
"Estee Lauder Cos.","EL",85.0,"$31.1B",1.36,"1.6%","11.1%"
"Aetna Inc","AET",125.27,"$44B",2.0,"1.6%","1.0%"
"United Health Group Inc.","UNH",157.62,"$149.9B",2.5,"1.59%","-1.5%"
"Scripps Networks Interactive Inc.","SNI",76.04,"$9.8B",1.2,"1.58%","6.5%"
"Delta Air Lines","DAL",51.23,"$37.4B",0.81,"1.58%","4.1%"
"Flowserve Corporation","FLS",48.37,"$6.3B",0.76,"1.57%","0.7%"
"Lam Research","LRCX",114.9,"$18.7B",1.8,"1.57%","8.7%"
"PPG Industries","PPG",102.37,"$27B",1.6,"1.56%","8.0%"
"Delphi Automotive","DLPH",75.46,"$20.3B",1.16,"1.54%","12.0%"
"News Corp. Class A","NWSA",13.08,"$7.7B",0.2,"1.53%","14.1%"
"Church & Dwight","CHD",49.7,"$12.9B",0.76,"1.53%","12.5%"
"Kansas City Southern","KSU",86.89,"$9.3B",1.32,"1.52%","2.4%"
"Xylem Inc.","XYL",47.8,"$8.6B",0.72,"1.51%","-3.5%"
"Brown-Forman Corporation","BF.B",48.2,"$18.7B",0.73,"1.51%","7.3%"
"Fluor Corp.","FLR",56.43,"$7.9B",0.84,"1.49%","7.4%"
"Northrop Grumman Corp.","NOC",243.58,"$42.5B",3.6,"1.48%","4.7%"
"Citizens Financial Group","CFG",37.84,"$19.4B",0.56,"1.48%","6.2%"
"CSX Corp.","CSX",48.54,"$45B",0.72,"1.48%","35.1%"
"News Corp. Class B","NWS",13.5,"$7.7B",0.2,"1.48%","14.4%"
"Oracle Corp.","ORCL",42.06,"$172.7B",0.6,"1.43%","9.4%"
"Expeditors Int'l","EXPD",56.5,"$10.2B",0.8,"1.42%","6.7%"
"Synchrony Financial","SYF",36.68,"$30.3B",0.52,"1.42%","1.1%"
"The Walt Disney Company","DIS",110.06,"$174B",1.56,"1.42%","5.6%"
"Signet Jewelers","SIG",73.91,"$5.1B",1.04,"1.41%","-21.6%"
"Juniper Networks","JNPR",28.39,"$10.8B",0.4,"1.41%","0.5%"
"Fidelity National Information Services","FIS",82.05,"$26.9B",1.16,"1.41%","8.5%"
"Kroger Co.","KR",34.01,"$36.9B",0.48,"1.41%","-1.4%"
"Rockwell Collins","COL",93.46,"$12.2B",1.32,"1.41%","0.8%"
"PACCAR Inc.","PCAR",68.85,"$24.1B",0.96,"1.39%","7.7%"
"Tyson Foods","TSN",65.26,"$22.8B",0.9,"1.38%","5.8%"
"Intercontinental Exchange","ICE",58.4,"$34.8B",0.8,"1.37%","3.5%"
"TJX Companies Inc.","TJX",77.19,"$50.3B",1.04,"1.35%","2.7%"
"Moody's Corp","MCO",112.9,"$21.6B",1.52,"1.35%","19.8%"
"Stryker Corp.","SYK",126.34,"$47.1B",1.7,"1.35%","5.5%"
"Marriott Int'l.","MAR",89.36,"$34.9B",1.2,"1.34%","8.1%"
"Sealed Air","SEE",47.76,"$9.2B",0.64,"1.34%","5.3%"
"Halliburton Co.","HAL",53.71,"$46.6B",0.72,"1.34%","-0.7%"
"Albemarle Corp","ALB",91.92,"$10.3B",1.22,"1.33%","6.8%"
"Tractor Supply Company","TSCO",72.18,"$9.5B",0.96,"1.33%","-4.8%"
"CSRA Inc.","CSRA",30.02,"$4.9B",0.4,"1.33%","-5.7%"
"BorgWarner","BWA",42.38,"$9B",0.56,"1.32%","7.5%"
"D. R. Horton","DHI",30.49,"$11.4B",0.4,"1.31%","11.6%"
"Dollar General","DG",77.67,"$21.5B",1.0,"1.29%","4.9%"
"Comerica Inc.","CMA",72.37,"$12.7B",0.92,"1.27%","6.3%"
"Nike","NKE",56.75,"$93.9B",0.72,"1.27%","11.6%"
"Fortune Brands Home & Security","FBHS",57.06,"$8.8B",0.72,"1.26%","6.7%"
"Harman Int'l Industries","HAR",111.01,"$7.8B",1.4,"1.26%","-0.1%"
"S&P Global, Inc.","SPGI",130.39,"$33.7B",1.64,"1.26%","21.2%"
